model,c1,c2,severity,drop_c1,drop_c2,drop_combined,expected_additive,interaction,interaction_type
ViT-B-16,jpeg_compression,shot_noise,3,0.636,0.6960000000000001,0.728,1.332,-0.6040000000000001,subadditive
ViT-B-16,brightness,contrast,3,0.128,0.29900000000000004,0.36700000000000005,0.42700000000000005,-0.06,subadditive
ViT-B-16,brightness,shot_noise,3,0.128,0.6960000000000001,0.734,0.8240000000000001,-0.09000000000000008,subadditive
ViT-B-16,contrast,shot_noise,3,0.29900000000000004,0.6960000000000001,0.768,0.9950000000000001,-0.2270000000000001,subadditive
ViT-B-16,gaussian_noise,motion_blur,5,0.769,0.726,0.778,1.495,-0.7170000000000001,subadditive
ViT-B-16,gaussian_noise,fog,5,0.769,0.7080000000000001,0.773,1.477,-0.7040000000000001,subadditive
ViT-B-16,gaussian_noise,jpeg_compression,5,0.769,0.72,0.765,1.4889999999999999,-0.7239999999999999,subadditive
ViT-B-16,gaussian_noise,brightness,5,0.769,0.30500000000000005,0.768,1.074,-0.30600000000000005,subadditive
ViT-B-16,gaussian_noise,contrast,5,0.769,0.663,0.773,1.432,-0.6589999999999999,subadditive
ViT-B-16,gaussian_noise,shot_noise,5,0.769,0.767,0.778,1.536,-0.758,subadditive
ViT-B-16,motion_blur,fog,5,0.726,0.7080000000000001,0.776,1.4340000000000002,-0.6580000000000001,subadditive
ViT-B-16,motion_blur,jpeg_compression,5,0.726,0.72,0.772,1.446,-0.6739999999999999,subadditive
ViT-B-16,motion_blur,brightness,5,0.726,0.30500000000000005,0.752,1.0310000000000001,-0.27900000000000014,subadditive
ViT-B-16,motion_blur,contrast,5,0.726,0.663,0.772,1.389,-0.617,subadditive
ViT-B-16,motion_blur,shot_noise,5,0.726,0.767,0.776,1.4929999999999999,-0.7169999999999999,subadditive
ViT-B-16,fog,jpeg_compression,5,0.7080000000000001,0.72,0.773,1.428,-0.6549999999999999,subadditive
ViT-B-16,fog,brightness,5,0.7080000000000001,0.30500000000000005,0.674,1.0130000000000001,-0.3390000000000001,subadditive
ViT-B-16,fog,contrast,5,0.7080000000000001,0.663,0.773,1.371,-0.598,subadditive
ViT-B-16,fog,shot_noise,5,0.7080000000000001,0.767,0.774,1.475,-0.7010000000000001,subadditive
ViT-B-16,jpeg_compression,brightness,5,0.72,0.30500000000000005,0.732,1.025,-0.2929999999999999,subadditive
ViT-B-16,jpeg_compression,contrast,5,0.72,0.663,0.758,1.383,-0.625,subadditive
ViT-B-16,jpeg_compression,shot_noise,5,0.72,0.767,0.767,1.487,-0.7200000000000001,subadditive
ViT-B-16,brightness,contrast,5,0.30500000000000005,0.663,0.6970000000000001,0.9680000000000001,-0.271,subadditive
ViT-B-16,brightness,shot_noise,5,0.30500000000000005,0.767,0.768,1.072,-0.30400000000000005,subadditive
ViT-B-16,contrast,shot_noise,5,0.663,0.767,0.771,1.4300000000000002,-0.6590000000000001,subadditive
ViT-L-14,gaussian_noise,motion_blur,1,0.417,0.33899999999999997,0.619,0.756,-0.137,subadditive
ViT-L-14,gaussian_noise,fog,1,0.417,0.22799999999999998,0.585,0.645,-0.06000000000000005,subadditive
ViT-L-14,gaussian_noise,jpeg_compression,1,0.417,0.49,0.57,0.907,-0.3370000000000001,subadditive
ViT-L-14,gaussian_noise,brightness,1,0.417,0.02200000000000002,0.42899999999999994,0.439,-0.010000000000000064,subadditive
ViT-L-14,gaussian_noise,contrast,1,0.417,0.08199999999999996,0.46499999999999997,0.49899999999999994,-0.033999999999999975,subadditive
ViT-L-14,gaussian_noise,shot_noise,1,0.417,0.46099999999999997,0.583,0.8779999999999999,-0.29499999999999993,subadditive
ViT-L-14,motion_blur,fog,1,0.33899999999999997,0.22799999999999998,0.6499999999999999,0.567,0.08299999999999996,superadditive
ViT-L-14,motion_blur,jpeg_compression,1,0.33899999999999997,0.49,0.663,0.829,-0.16599999999999993,subadditive
ViT-L-14,motion_blur,brightness,1,0.33899999999999997,0.02200000000000002,0.37799999999999995,0.361,0.01699999999999996,superadditive
